type	lineA	lineB	witA	witB	A_form	A_lemma	A_pos	B_form	B_lemma	B_pos
lacune	193	195	Cliges_A	Cliges_P	ne	ne1	ADVneg			
lexicale	194	196	Cliges_A	Cliges_P	homz	ome	NOMcom	blasmes	blasme	NOMcom
lexicale	194	196	Cliges_A	Cliges_P	se	se	CONsub	quant	cant1	CONsub
lacune	195	197	Cliges_A	Cliges_P	Qui	qui	PROrel			
lexicale	195	197	Cliges_A	Cliges_P	atant	atant	VERcjg	Tot	tot	ADVgen
lexicale	195	197	Cliges_A	Cliges_P	d'	de	PRE	bien	bien1	ADVgen
lexicale	195	197	Cliges_A	Cliges_P	autre	autre	PROind	sont	estre1	VERcjg
lexicale	195	197	Cliges_A	Cliges_P	bien	bien1	ADVgen	a	a3	PRE
lexicale	195	197	Cliges_A	Cliges_P	sanz	sans	PRE	celui	cel	DETdem
lexicale	195	197	Cliges_A	Cliges_P	grace	grace	NOMcom	damace	damage	NOMcom
lexicale	196	198	Cliges_A	Cliges_P	Que	que4	CONsub	Qui	qui	PROrel
pos_diff	196	198	Cliges_A	Cliges_P	Largesce	largece	NOMpro	Largece	largece	NOMcom
lexicale	197	199	Cliges_A	Cliges_P	foi	foi	NOMcom	li	il	PROper
pos_diff	197	199	Cliges_A	Cliges_P	fet	faire	VERppe	font	faire	VERcjg
pos_diff	197	199	Cliges_A	Cliges_P	prodome	prodome	ADJqua	preudome	prodome	NOMcom
lexicale	198	200	Cliges_A	Cliges_P	Ce	ce1	PROdem	Cou	col	PROrel
lexicale	198	200	Cliges_A	Cliges_P	que	que2	PROrel	que	que4	PROrel
pos_diff	199	201	Cliges_A	Cliges_P	Savoir	savoir	VERinf	Savoirs	savoir	NOMcom
pos_diff	200	202	Cliges_A	Cliges_P	Avoir	avoir	VERinf	Avoirs	avoir	ADJqua
lexicale	202	204	Cliges_A	Cliges_P	Proesce	pröece	NOMcom	Hardimens	hardement	NOMcom
lexicale	203	205	Cliges_A	Cliges_P	Ne	ne2	CONcoo	Ne	ne1	ADVneg
lexicale	203	205	Cliges_A	Cliges_P	Biautez	biauté	NOMpro	li	il	PROper
lexicale	203	205	Cliges_A	Cliges_P	ne	ne2	CONcoo	estuet	estovoir1	VERcjg
lexicale	203	205	Cliges_A	Cliges_P	nule	nul	DETind	mie	mie	ADVneg
pos_diff	203	205	Cliges_A	Cliges_P	autre	autre	ADJind	autre	autre	DETind
lexicale	204	206	Cliges_A	Cliges_P	Mes	mès	CONcoo	Mais	mais1	CONcoo
lacune	204	206	Cliges_A	Cliges_P	tot	tot	ADVgen			
lexicale	204	206	Cliges_A	Cliges_P	ausi	aussi	ADVgen	autresi	autresi	ADVgen
lexicale	206	208	Cliges_A	Cliges_P	fresche	frois1	ADJqua	fresce	frai	ADJqua
lexicale	207	209	Cliges_A	Cliges_P	Ensi	ainsi	ADVgen	Ausi	aussi	ADVgen
pos_diff	207	209	Cliges_A	Cliges_P	la	le	PROper	la	le	ADVgen
lexicale	207	209	Cliges_A	Cliges_P	avient	avenir	VERcjg	vient	venir	VERcjg
lacune	208	210	Cliges_A	Cliges_P	De	de	PRE			
lexicale	208	210	Cliges_A	Cliges_P	sor	sor2	PRE	Desor	desor	PRE
lexicale	210	212	Cliges_A	Cliges_P	qui	qui	PROrel	quant	cant1	CONsub
lexicale	210	212	Cliges_A	Cliges_P	eprueve	esprover	VERcjg	prueve	prover	VERcjg
pos_diff	214	216	Cliges_A	Cliges_P	li	le	PROper	li	le	DETdef
pos_diff	214	216	Cliges_A	Cliges_P	vaslez	vaslet	VERppe	valles	vaslet	NOMcom
lacune	215	217	Cliges_A	Cliges_P	quan	cant2	PROind			
lexicale	215	217	Cliges_A	Cliges_P	qu'	que2	PROrel	quanqu	cantque	PROrel
lexicale	216	218	Cliges_A	Cliges_P	Car	car	CONcoo	Que	que4	CONsub
lexicale	216	218	Cliges_A	Cliges_P	rove	rover	VERppe	trove	trover	VERppe
lacune	217	219	Cliges_A	Cliges_P	55a	çaienz	VERcjg			
pos_diff	217	219	Cliges_A	Cliges_P	Tot	tot	PROind	Tot	tot	ADVgen
lacune	217	219	Cliges_A	Cliges_P	ce	ce1	PROdem			
lexicale	217	219	Cliges_A	Cliges_P	qu'	que2	PROrel	quanques	cantque	PROrel
lexicale	217	219	Cliges_A	Cliges_P	vint	venir	VERcjg	fu	estre1	VERcjg
lexicale	217	219	Cliges_A	Cliges_P	a	avoir	PRE	a	a3	PRE
lexicale	218	220	Cliges_A	Cliges_P	L'	le	DETdef	Lors	lors	ADVgen
lexicale	218	220	Cliges_A	Cliges_P	empereriz	empererriz	NOMcom	fu	estre1	VERcjg
lexicale	218	220	Cliges_A	Cliges_P	fu	estre1	VERcjg	l	le	DETdef
lexicale	218	220	Cliges_A	Cliges_P	molt	mout	ADVgen	empeerris	empererriz	NOMcom
lexicale	220	222	Cliges_A	Cliges_P	Ou	où	PROrel	U	que4	PROrel
lexicale	221	223	Cliges_A	Cliges_P	Mes	mès	NOMpro	Mais	mais1	CONcoo
ajout	221	223	Cliges_A	Cliges_P				k	que4	PROrel
lexicale	221	223	Cliges_A	Cliges_P	quan	cant1	CONsub	en	en2	PROadv
lexicale	221	223	Cliges_A	Cliges_P	ne	ne1	CONcoo	et	et	CONcoo
lexicale	222	224	Cliges_A	Cliges_P	qui	qui	PROrel	que	que4	CONsub
lexicale	222	224	Cliges_A	Cliges_P	que	que4	CONsub	qui	qui	PROrel
pos_diff	223	225	Cliges_A	Cliges_P	Ne	ne2	ADVneg	Ne	ne2	CONcoo
lexicale	223	225	Cliges_A	Cliges_P	que	que4	CONsub	qui	qui	PROrel
pos_diff	223	225	Cliges_A	Cliges_P	li	il	DETdef	le	il	PROper
pos_diff	223	225	Cliges_A	Cliges_P	blasme	blasmer	NOMcom	blasme	blasmer	VERcjg
lexicale	223	225	Cliges_A	Cliges_P	ne	ne1	ADVneg	et	et	CONcoo
lexicale	223	225	Cliges_A	Cliges_P	lot	löer1	VERcjg	deslot	desloiier	VERcjg
pos_diff	224	226	Cliges_A	Cliges_P	Li	le	PROper	Li	le	DETdef
pos_diff	224	226	Cliges_A	Cliges_P	vaslez	vaslet	VERppe	valles	vaslet	NOMcom
pos_diff	224	226	Cliges_A	Cliges_P	qu'	que4	CONsub	qu	que4	PROrel
lexicale	225	227	Cliges_A	Cliges_P	nes	ne1+il	NOMcom	nes	nef2	NOMcom
lexicale	227	229	Cliges_A	Cliges_P	An	en1	PRE	K	que4	CONcoo
lexicale	227	229	Cliges_A	Cliges_P	son	son4	DETpos	aler	aler	VERinf
lexicale	227	229	Cliges_A	Cliges_P	pais	päis	NOMcom	ne	ne1	ADVneg
lexicale	227	229	Cliges_A	Cliges_P	plus	plus	ADVgen	veut	voloir	VERcjg
lexicale	227	229	Cliges_A	Cliges_P	longuement	longement2	ADVgen	hastivement	hastivement	ADVgen
lexicale	229	231	Cliges_A	Cliges_P	Durent	durer	VERcjg	Furent	estre1	VERcjg
